Time(s),Voltage(V)
-20.6107,-8.8118
-20.7900,-6.9112
-21.6861,-8.1207
-21.6861,-8.1207
-20.7900,-6.2201
-21.1484,-7.6024
-21.5069,-7.2568
-21.1484,-7.6024
-22.7614,-6.7385
-22.5822,-6.9112
-23.8368,-7.4296
-24.3744,-7.2568
-24.0160,-6.5657
-24.0160,-6.5657
-24.0160,-6.2201
-26.1667,-6.5657
-27.2420,-6.2201
-28.8550,-7.7752
-28.8550,-5.0107
-29.0343,-6.9112
-29.7512,-5.8746
-31.1850,-5.1834
-31.1850,-5.1834
-32.9772,-5.5290
-33.3356,-5.5290
-34.9487,-6.3929
-36.3824,-5.3562
-38.8916,-5.3562
-41.0423,-5.0107
-41.0423,-5.0107
-43.1930,-5.3562
-43.1930,-5.3562
-45.5229,-3.4556
-48.2112,-3.6284
-47.8528,-3.9740
-49.8242,-5.1834
-52.6918,-3.8012
-53.2295,-3.9740
-54.4841,-2.7645
-55.5594,-4.1467
-55.5594,-4.1467
-57.3516,-2.7645
-57.5309,-3.9740
-57.5309,-3.2828
-61.1153,-2.2462
-59.3231,-2.9373
-60.7569,-2.2462
-62.9076,-2.9373
-65.2375,-2.0734
-64.5206,-2.4189
-64.5206,-2.4189
-65.5959,-2.0734
-66.3128,-2.7645
-66.3128,-2.4189
-66.6713,-2.4189
-66.3128,-3.1101
-67.3882,-1.0367
-66.3128,-2.0734
-66.8505,-1.5550
-66.8505,-1.5550
-67.9259,-2.9373
-68.6428,-2.2462
-68.2843,-1.5550
-68.1051,-1.3822
-66.8505,-1.9006
-67.0297,-1.7278
-67.9259,-1.9006
-67.9259,-1.9006
-66.8505,-2.5917
-67.2090,-1.2095
-65.2375,-2.7645
-65.2375,-1.7278
-65.5959,-2.7645
-63.6245,-2.2462
-64.1622,-2.4189
-62.0115,-2.0734
-62.7284,-2.4189
-61.6530,-2.7645
-61.6530,-2.7645
-59.3231,-2.5917
-58.0685,-4.4923
-58.6062,-3.9740
-57.1724,-4.3195
-55.2010,-3.1101
-54.4841,-3.8012
-53.0503,-4.1467
-51.2580,-3.1101
-51.2580,-3.1101
-50.0035,-4.3195
-47.6736,-4.8379
-46.2398,-5.8746
-45.5229,-5.1834
-44.0891,-4.1467
-43.3722,-6.5657
-44.0891,-4.4923
-44.0891,-4.4923
-42.4761,-5.3562
-40.3254,-5.7018
-40.8630,-5.1834
-37.4578,-6.0473
-36.3824,-5.0107
-35.3071,-5.7018
-35.4863,-6.5657
-35.3071,-6.7385
-34.7694,-6.2201
-34.7694,-6.2201
-33.8733,-6.3929
-31.3642,-6.7385
-30.4681,-5.8746
-28.4966,-6.7385
-26.8836,-6.5657
-25.9875,-7.7752
-26.3459,-6.7385
-22.4030,-7.0840
-21.3276,-7.7752
-21.3276,-7.7752
-20.9692,-6.7385
-20.4315,-7.6024
-18.2808,-7.9479
-17.0263,-7.4296
-16.8470,-7.2568
-17.0263,-8.8118
-15.7717,-7.2568
-13.6210,-7.9479
-13.6210,-7.9479
-13.6210,-8.2935
-13.2626,-8.6391
-14.3379,-8.6391
-10.9327,-7.4296
-12.5457,-8.9846
-12.5457,-8.2935
-12.1872,-7.6024
-12.1872,-7.6024
-12.7249,-8.8118
-12.0080,-9.5030
-12.3664,-8.1207
-13.0833,-6.7385
-13.0833,-6.7385
-14.1587,-7.7752
-14.1587,-7.7752
-15.5925,-8.4663
-15.9509,-8.8118
-15.9509,-8.8118
-17.9224,-7.6024
-16.3094,-7.4296
-17.0263,-7.4296
-17.5639,-7.6024
-19.3562,-7.9479
-18.2808,-7.2568
-18.2808,-7.9479
-18.4601,-7.7752
-18.4601,-7.7752
-19.7146,-7.6024
-18.4601,-8.1207
-18.2808,-8.2935
-17.7432,-7.7752
-20.2523,-7.0840
-19.7146,-6.2201
-18.6393,-7.9479
-19.3562,-6.5657
-19.3562,-6.5657
-19.3562,-7.2568
-20.7900,-7.6024
-20.4315,-7.6024
-20.9692,-8.4663
-19.7146,-7.9479
-19.7146,-8.9846
-20.0731,-8.2935
-21.5069,-7.2568
-21.5069,-7.2568
-20.7900,-8.6391
-19.7146,-7.6024
-19.1770,-7.7752
-20.2523,-7.0840
-20.4315,-8.9846
-20.9692,-5.7018
-19.8939,-7.0840
-18.8185,-5.7018
-20.6107,-6.0473
-19.5354,-6.7385
-19.5354,-6.7385
-20.0731,-7.2568
-20.7900,-6.9112
