Time(s),Voltage(V)
-16.2561,44.2683
-18.9356,45.5229
-18.9356,45.5229
-18.9356,45.5229
-18.9356,45.5229
-19.8288,50.3619
-19.8288,50.3619
-19.8288,50.3619
-21.0793,53.7672
-21.0793,53.7672
-21.0793,53.7672
-21.0793,53.7672
-22.5084,55.2010
-22.5084,55.2010
-22.5084,55.2010
-23.0443,58.9647
-23.0443,58.9647
-23.0443,58.9647
-23.0443,58.9647
-26.0812,62.0115
-26.0812,62.0115
-26.0812,62.0115
-30.7258,63.0868
-30.7258,63.0868
-30.7258,63.0868
-30.7258,63.0868
-32.8694,67.0297
-32.8694,67.0297
-32.8694,67.0297
-35.7276,68.1051
-35.7276,68.1051
-35.7276,68.1051
-35.7276,68.1051
-38.9431,70.6142
-38.9431,70.6142
-38.9431,70.6142
-38.9431,70.6142
-42.5159,71.3311
-42.5159,71.3311
-42.5159,71.3311
-48.5896,71.6896
-48.5896,71.6896
-48.5896,71.6896
-48.5896,71.6896
-51.8051,70.2558
-51.8051,70.2558
-51.8051,70.2558
-54.3060,70.9727
-54.3060,70.9727
-54.3060,70.9727
-54.3060,70.9727
-58.5933,71.3311
-58.5933,71.3311
-58.5933,71.3311
-61.6302,70.7934
-61.6302,70.7934
-61.6302,70.7934
-61.6302,70.7934
-65.7389,68.4635
-65.7389,68.4635
-65.7389,68.4635
-67.3466,66.1336
-67.3466,66.1336
-67.3466,66.1336
-67.3466,66.1336
-68.7757,63.6245
-68.7757,63.6245
-68.7757,63.6245
-68.7757,63.6245
-72.7057,62.1907
-72.7057,62.1907
-72.7057,62.1907
-73.9562,58.4270
-73.9562,58.4270
-73.9562,58.4270
-73.9562,58.4270
-76.9931,53.5879
-76.9931,53.5879
-76.9931,53.5879
-78.2435,49.8242
-78.2435,49.8242
-78.2435,49.8242
-79.3154,47.3151
-79.3154,47.3151
-79.3154,47.3151
-79.3154,47.3151
-78.6008,43.7306
-78.6008,43.7306
-78.6008,43.7306
-78.6008,43.7306
-77.8863,40.5046
-77.8863,40.5046
-77.8863,40.5046
-77.8863,35.8448
-77.8863,35.8448
-77.8863,35.8448
-77.8863,35.8448
-76.0999,33.6941
-76.0999,33.6941
-76.0999,33.6941
-77.8863,32.9772
-77.8863,32.9772
-77.8863,32.9772
-77.8863,32.9772
-77.3503,33.8733
-77.3503,33.8733
-77.3503,33.8733
-77.1717,34.0525
-77.1717,34.0525
-77.1717,34.0525
-77.1717,34.0525
-77.8863,33.3356
-77.8863,33.3356
-77.8863,33.3356
-78.6008,32.9772
-78.6008,32.9772
-78.6008,32.9772
-78.6008,32.9772
-76.8144,31.5434
-76.8144,31.5434
-76.8144,31.5434
-76.8144,31.5434
-77.5290,34.4110
-77.5290,34.4110
-77.5290,34.4110
-77.3503,32.4395
-77.3503,32.4395
-77.3503,32.4395
-77.3503,32.4395
-78.2435,32.2603
-78.2435,32.2603
-78.2435,32.2603
-76.8144,33.6941
-76.8144,33.6941
-76.8144,33.6941
-76.8144,33.6941
-77.8863,33.3356
-77.8863,33.3356
-77.8863,33.3356
-77.5290,33.3356
-77.5290,33.3356
-77.5290,33.3356
-77.5290,33.3356
-76.2785,33.5149
-76.2785,33.5149
-76.2785,33.5149
-76.6358,32.4395
-76.6358,32.4395
-76.6358,32.4395
-76.6358,32.4395
-78.0649,33.5149
-78.0649,33.5149
-78.0649,33.5149
-78.0649,33.5149
-78.2435,33.3356
-78.2435,33.3356
-78.2435,33.3356
-76.4572,33.3356
-76.4572,33.3356
-76.4572,33.3356
-76.4572,33.3356
-76.2785,32.0811
-76.2785,32.0811
-76.2785,32.0811
-77.7076,32.7980
-77.7076,32.7980
-77.7076,32.7980
-77.7076,32.7980
-77.3503,32.7980
-77.3503,32.7980
-77.3503,32.7980
-77.5290,32.9772
-77.5290,32.9772
-77.5290,32.9772
-77.5290,32.9772
-76.8144,30.8265
-76.8144,30.8265
-76.8144,30.8265
-76.4572,31.5434
-76.4572,31.5434
-76.4572,31.5434
-76.4572,31.5434
-76.0999,32.2603
-76.0999,32.2603
-76.0999,32.2603
-76.0999,32.2603
-76.9931,31.7226
-76.9931,31.7226
-76.9931,31.7226
-75.9212,32.7980
-75.9212,32.7980
-75.9212,32.7980
-75.9212,32.7980
-78.6008,32.6187
-78.6008,32.6187
-78.6008,32.6187
-76.4572,33.3356
-76.4572,33.3356
-76.4572,33.3356
-77.8863,33.3356
-77.8863,33.3356
-77.8863,33.3356
-77.8863,33.3356
-76.8144,34.0525
-76.8144,34.0525
-76.8144,34.0525
-76.8144,34.0525
-77.3503,32.4395
